Common Name,Scientific Name,Status
Choctaw bean,Villosa choctawensis,Endangered
Choctawhatchee beach mouse,Peromyscus polionotus allophrys,Endangered
Chorro Creek bog thistle,Cirsium fontinale var. obispoense,Endangered
Christmas Island goshawk,Accipiter fasciatus natalis,Endangered
Chucky Madtom,Noturus crypticus,Endangered
Chum salmon,Oncorhynchus keta,Threatened
Chum salmon,Oncorhynchus keta,Threatened
Chupacallos,Pleodendron macranthum,Endangered
Chupadera springsnail,Pyrgulopsis chupaderae,Endangered
Cicek (minnow),Acanthorutilus handlirschi,Endangered
Clara Hunt's milk-vetch,Astragalus clarianus,Endangered
Clarke's weaver,Ploceus golandi,Endangered
Clark's gazelle,Ammodorcas clarkei,Endangered
Clay-Loving wild buckwheat,Eriogonum pelinophilum,Endangered
Clay phacelia,Phacelia argillacea,Endangered
Clay reed-mustard,Schoenocrambe argillacea,Threatened
Clay's hibiscus,Hibiscus clayi,Endangered
Clear Creek gambusia,Gambusia heterochir,Endangered
Clouded leopard,Neofelis nebulosa,Endangered
Cloven-feathered dove,Drepanoptila holosericea,Endangered
Clover lupine,Lupinus tidestromii,Endangered
Clover Valley speckled dace,Rhinichthys osculus oligoporus,Endangered
Clubshell,Pleurobema clava,Endangered
Coachella Valley fringe-toed lizard,Uma inornata,Threatened
Coachella Valley milk-vetch,Astragalus lentiginosus var. coachellae,Endangered
Coastal California gnatcatcher,Polioptila californica californica,Threatened
Coastal dunes milk-vetch,Astragalus tener var. titi,Endangered
Cobana negra,Stahlia monosperma,Threatened
Cochise pincushion cactus,Coryphantha robbinsiorum,Threatened
Cochito,Phocoena sinus,Endangered
Coffin Cave mold beetle,Batrisodes texanus,Endangered
Coho salmon,Oncorhynchus (=Salmo) kisutch,Threatened
Coho salmon,Oncorhynchus (=Salmo) kisutch,Threatened
Coho salmon,Oncorhynchus (=Salmo) kisutch,Threatened
Coho salmon,Oncorhynchus (=Salmo) kisutch,Endangered
Cokendolpher Cave Harvestman,Texella cokendolpheri,Endangered
Colorado Butterfly plant,Gaura neomexicana var. coloradensis,Threatened
Colorado hookless Cactus,Sclerocactus glaucus,Threatened
Colorado pikeminnow (=squawfish),Ptychocheilus lucius,Endangered
Columbia Basin Pygmy Rabbit,Brachylagus idahoensis,Endangered
Columbian white-tailed deer,Odocoileus virginianus leucurus,Threatened
Colusa grass,Neostapfia colusana,Threatened
Comal Springs dryopid beetle,Stygoparnus comalensis,Endangered
Comal Springs riffle beetle,Heterelmis comalensis,Endangered
Comanche Springs pupfish,Cyprinodon elegans,Endangered
Common caiman,Caiman crocodilus crocodilus,Similarity of Appearance (Threatened)
Conasauga logperch,Percina jenkinsi,Endangered
Conejo dudleya,Dudleya abramsii ssp. parva,Threatened
Congo dwarf crocodile,Osteolaemus tetraspis osborni,Endangered
Conservancy fairy shrimp,Branchinecta conservatio,Endangered
Contra Costa goldfields,Lasthenia conjugens,Endangered
Contra Costa wallflower,Erysimum capitatum var. angustatum,Endangered
Cooke's koki`o,Kokia cookei,Endangered
Cook's holly,Ilex cookii,Endangered
Cook's lomatium,Lomatium cookii,Endangered
Cooley's meadowrue,Thalictrum cooleyi,Endangered
Cooley's water-willow,Justicia cooleyi,Endangered
Coosa moccasinshell,Medionidus parvulus,Endangered
Copperbelly water snake,Nerodia erythrogaster neglecta,Threatened
Corsican red deer,Cervus elaphus corsicanus,Endangered
Corsican swallowtail butterfly,Papilio hospiton,Endangered
Costa Rican jatropha,Jatropha costaricensis,Endangered
Costa Rican puma,Puma (=Felis) concolor costaricensis,Endangered
Cotton-top tamarin,Saguinus oedipus,Endangered
Coyote ceanothus,Ceanothus ferrisae,Endangered
Cracking pearlymussel,Hemistena lata,Endangered
Crenulate lead-plant,Amorpha crenulata,Endangered
Crescent nail-tailed wallaby,Onychogalea lunata,Endangered
crested honeycreeper (Akohekohe),Palmeria dolei,Endangered
Crimson Hawaiian damselfly,Megalagrion leptodemas,Endangered
Cuatro Cienegas softshell turtle,Trionyx ater,Endangered
Cuba hook-billed kite,Chondrohierax uncinatus wilsonii,Endangered
Cuban crocodile,Crocodylus rhombifer,Endangered
Cuban ground iguana,Cyclura nubila nubila,Threatened
Cuban solenodon,Solenodon cubanus,Endangered
Cuba sandhill crane,Grus canadensis nesiotes,Endangered
Cui-ui,Chasmistes cujus,Endangered
Culebra Island giant anole,Anolis roosevelti,Endangered
Cumberland bean (pearlymussel),Villosa trabalis,Endangered
Cumberland darter,Etheostoma susanae,Endangered
Cumberland elktoe,Alasmidonta atropurpurea,Endangered
Cumberlandian combshell,Epioblasma brevidens,Endangered
Cumberland monkeyface (pearlymussel),Quadrula intermedia,Endangered
Cumberland pigtoe,Pleurobema gibberum,Endangered
Cumberland rosemary,Conradina verticillata,Threatened
Cumberland sandwort,Arenaria cumberlandensis,Endangered
Curtis pearlymussel,Epioblasma florentina curtisii,Endangered
Cushenbury buckwheat,Eriogonum ovalifolium var. vineum,Endangered
Cushenbury milk-vetch,Astragalus albens,Endangered
Cushenbury oxytheca,Oxytheca parishii var. goodmaniana,Endangered
Cylindrical lioplax (snail),Lioplax cyclostomaformis,Endangered
Dakota Skipper,Hesperia dacotae,Threatened
Dama gazelle,Gazella dama,Endangered
Dappled mountain robin,Arcanator orostruthus,Threatened
Dark pigtoe,Pleurobema furvum,Endangered
Davis' green pitaya,Echinocereus viridiflorus var. davisii,Endangered
Day gecko,Phelsuma edwardnewtoni,Endangered
DeBeque phacelia,Phacelia submutica,Threatened
Decurrent false aster,Boltonia decurrens,Threatened
Delhi Sands flower-loving fly,Rhaphiomidas terminatus abdominalis,Endangered
Del Mar manzanita,Arctostaphylos glandulosa ssp. crassifolia,Endangered
Delta green ground beetle,Elaphrus viridis,Threatened
Delta smelt,Hypomesus transpacificus,Threatened
Deltoid spurge,Chamaesyce deltoidea ssp. deltoidea,Endangered
Desert bandicoot,Perameles eremiana,Endangered
Desert dace,Eremichthys acros,Threatened
Desert monitor,Varanus griseus,Endangered
Desert (=plain) rat-kangaroo,Caloprymnus campestris,Endangered
Desert pupfish,Cyprinodon macularius,Endangered
Desert slender salamander,Batrachoseps aridus,Endangered
Desert tortoise,Gopherus agassizii,Threatened
